10002819A;Selimut Tetangga
10002820B;Tukang Bohong (Raja Gombal)
10002821B;Jangan Oh Jangan
10002822A;Galau
10002823A;Gula Dan Semut
10002824B;Hari Harimu
10002825A;Kau Lukai Lagi
10002826A;Apa Kabar
10002827A;Ajari Aku Tuhan
10002828A;Jangan Pergi
10002829B;Kirana
10002830A;Cahaya Kecil (Ost. Cahaya Kecil)
10002831A;Meong
10002832A;If You Were Mine
10002833B;Inikah Cinta
10002834A;Jangan Takut Bermimpi
10002835A;Mengapa Sahabat Pacarku Lebih Cantik Dari Pacarku
10002836A;Gak Ditembak Tembak
10002837A;Cinta Jangan Kau Pergi
10002838A;Pastikan
10002839A;Falling In Love
10002840A;Sempurnakah Hidupku
10002841A;Move On
10002842A;Say You Love Me
10002843A;Bara Bere
10002844A;Cukup Satu Menit
10002845A;Milikmu
10002846A;Fufu Fafa
10002847A;Bangun Cinta
10002848B;Denganmu
10002849A;Sadis
10002850A;Kenapa Mengapa
10002851A;R.I.V.E.R
10002852B;Jadi Penasaran
10002853B;Karena Dia
10002854B;Kakikaku
10002855A;Izinkan Aku Selingkuh
10002856A;Selalu Di Hati
10002857A;Pemeran Utama
10002858B;Untukmu Ayah Ibu
10002859A;Kubuktikan Cinta
10002860A;Melepasmu
10002861A;Jangan Pergi
10002862A;Jiaahh
10002863B;Mantan Terindah
10002864A;Cantik
10002864A;Cantik
10002865A;Jangan Tunggu Aku Pergi
10002866A;Papua Dalam Cinta (Papua)
10002867A;Penipu Hati
10002868A;Abang Rombeng
10002869A;I Will Survive
10002870B;Gue Juga Bisa
10002871B;Lelaki Biasa
10002872A;Boneka Tersayang
10002873A;Dia Dia Dia
10002874A;Ratu Cinta
10002875A;Akan Ku Tunggu
10002876B;Ngidam Pentol (Koplo)
10002877B;Manuk Kecepit (Koplo)
10002878B;Cintaku (Ost. Badai Pasti Berlalu)
10002879A;Ehek (Discodhut)
10002880A;Aku Pergi
10002881A;Pergi Ke Bulan
10002882A;Relakan
10002883B;100 Persen Kecewa
10002884B;Fly Away
10002885A;Kontroversi Hati
10002886A;Cinta Tanpa Batas
10002887A;Semusim
10002888B;Ngaca Dulu Deh
10002889B;Bila Ada Cinta Yang Lain
10002890A;Cahaya Di Langit Itu
10002891B;Bukan Rama Shinta
10002892B;Cinta Sudah Lewat
10002893B;Manusia
10002894A;Harus Move On
10002895A;Kepastian Yang Maya
10002896P;Sejauh Apapun
10002897A;Dilema
10002898B;Selalu Ada
10002899B;O..o Bilanglah I Love You
10002901A;Kolam Susu
10002902A;Sayang
10002903A;Dalamnya Rinduku
10002904A;I Need You
10002905A;Dilema
10002906B;Beri Aku Waktu
10002907A;Kita Dan Dunia
10002908B;Thanks For Loving Me
10002909B;Senyam-Senyum 
10002910B;Egois 
10002911B;Cinta Slow Motion 
10002912B;Saat Kau Bersama Dia 
10002913B;Surat Kecil Untuk Tuhan 
10002914A;Cinta Tulus 
10002915A;Hello
10002917A;Kaulah Kamuku
10002918A;Belati Tuhan
10002919A;Senam Yang Iya Iyalah (Indonesia Version)
10002920A;Terlatih Patah Hati
10002921A;Tikus-Tikus Kantor
10002922A;Si Penebus Dosa
10002923A;Malam Kudus (Silent Night)
10002924A;Hai Mari Berhimpun
10002925A;Sungguh Mulia
10002926A;Gita Surga Bergema
10002927A;Di Dalam Palungan
10002928A;Di Malam Sunyi Bergema
10002929A;Gembala Di Padang
10002930A;Hai Kota Mungil Betlehem
10002931A;Malam Sunyi Senyap
10002932A;Muliakanlah
10002933A;Seribu Lilin
10002934A;Waktu Tuhan
10002935A;Tangan Tuhan
10002936A;Yesus Sungguh Berarti
10002937A;Orang Yang Menabur
10002938A;Yesuslah Jalan
10002939A;Jalan Tuhan
10002940A;Indahnya Hidup Ini
10002941A;Nyanyikanlah Nyanyian Baru
10002942A;Kekuatan Baru
10002943A;Dimana Dan Kapan Saja
10002944A;Tiap Jam
10002945A;Jam Kehidupan
10002946B;Mujizat Masih Ada
10002947B;Apapun Yang Terjadi (Yesus, Yesus Kau Berarti Bagiku)
10002948B;Kasih Setiamu Yang Kurasakan
10002949B;Bersoraklah Bagi Tuhan
10002950B;Allah Yang Bela (Ya Tuhan Ku Percaya)
10002951B;Ujilah Aku Tuhan
10002952B;Sekalipun Aku Dalam Lembah Kelam
10002953B;Sgala Puji Syukur
10002954B;Ketika Aku Berbeban Berat
10002955B;Ya Tuhan PunyaMu Lah
10002956A;Indonesia Harus Bebas Korupsi
10002957A;Alasan Terbesar
10002958A;Wanita
10002959A;Tak Pernah Pergi
10002960A;Mendua
10002961A;Bukan Cinta
10002962A;Piano
10002963A;Boy (Playboy Kampret)
10002964A;Syukur (Ost. Soekarno)
10002965B;Berdua
10002966A;Matematika Cinta
10002967A;Bebas
10002968A;Oplosan
10002969A;Comeback
10002970A;Fun n Fine
10002971B;Sehabis Hujan
10002972B;Duda Dan Perjaka
10002973B;Oplosan
10002974A;Jangan Sakiti Hatinya
10002975A;Ayah
10002976A;Kau Yang Kusayang
10002977A;Aku Jatuh Cinta
10002978A;Bila Kau Seorang Diri
10002979A;Kabar-Kabar Burung
10002980A;Rindu
10002981A;Keraguan
10002982A;Kucoba Lagi
10002983A;Kerinduan
10002984A;Aku Percaya
10002985A;Mulanya Biasa Saja
10002986A;Jangan Pernah Ragukan
10002987A;Begitu Indah
10002988A;Walau Hati Menangis
10002989A;Untuk Sebuah Nama
10002990A;Bukan Kau Yang Pertama
10002991A;Symphoni Rindu
10002992A;Hello Kekasih
10002993B;Buka Sitik Joss
10002994A;Ajari Aku Mencintaimu
10002995A;Listen
10002996A;Lebih Dari Siapapun
10002997A;Pelangi Dan Mimpi
10002998B;Cinta
10002999B;Dukun Cinta
10003000A;Rindu Sahabat
10003001B;Selalu Untuk Selamanya
10003002A;Kawin Muda
10003003A;Selamanya
10003004A;Sumpah Dan Cinta Mati
10003005B;Cherry Love
10003006B;Hikayat Cinta
10003007B;IDD (Istri Diam-Diam)
10003008B;Teka-Teki
10003009B;Cinta Tak Pernah Salah
10003010A;Broken Heart
10003011A;Penantian Cinta
10003012A;Tentang Rasa
10003013B;Seakan Kau Mencintaiku
10003014A;Kamu Cantik Kamu Baik
10003015B;Lara
10003016A;Bang Jono (Remix Version)
10003017B;Hatiku Telah Dijleb-Jlebin Kamu
10003018A;Ku Tak Sempurna
10003019A;Badai Dan Kasih
10003020A;Mimpi Kamu
10003021B;Bukan Sekedar Kata
10003022A;Cabe Cabean
10003023A;Aku Suka
10003024A;Nasib Diriku
10003025A;Icikiwir
10003026A;Salah Paham
10003027B;Sharing
10003028A;Rangkaian Kata
10003029B;Keliru
10003030A;Tak Pernah Ternilai
10003031A;By My Side
10003032A;Tuhan Jagakan Dia
10003033A;Cintai Aku Karena Allah
